Video ID,Title,View Count,Like Count,Comment Count,Category
"-DnrZUa3P4Q","Best Nightcore Mix 2024 ♫ Gaming Music Mix ♫ New Music 2024 EDM Gaming Music","348563","6727","125","Gaming"
"96NYUvsX6nU","Gaming test - ROG Phone 9 with Snapdragon 8 Elite!","13082","603","268","Gaming"
"st98mkyp88k","Chicago Bulls Team Highlights vs. Detroit Pistons - Game Highlights | CHSN Chicago Bulls","2573","38","6","Gaming"
"bcxolGGj7T8","I Built My Friend His Dream Gaming Room!","761242","11247","405","Gaming"
"jOcw_bKyCto","Scary Teacher 3D vs Squid Game Help Nick Draw SuperGirl Squid Game Doll 5 Times Challenge","2971766","17639","323","Gaming"
"JiQTweEdjoQ","The Red Magic Nova is the BEST Gaming Tablet for 2024, Hands On Review","207916","5335","615","Gaming"
"rhmyI3U5MWM","ModRetro Chromatic Review: My Last Game Boy","13277","668","248","Gaming"
"XlsnUsaLuu4","20 NEW Upcoming Games That Are Hard to Believe (2024-2025) | PC, PS5, Xbox Series X","73588","446","28","Gaming"
"PP2Uvesx4ls","Cool Gaming Music 2024 ♫ Best Music Mix, NCS, Electronic, House ♫ Best Of EDM 2024","600859","7636","157","Gaming"
"4HQUO5W8Zk4","$450 ALL NEW Parts Gaming PC Build Guide - Step-by-Step","45272","1883","218","Gaming"
"GdFIjsMfSc8","Are We Out of Touch? - $1000 Gaming PC Challenge","1943622","86784","3287","Gaming"
"40S2m0lZxa4","Gaming Memes Only Real Gamers Understand","10614","520","30","Gaming"
"Wgxe723d7lc","New Thomson Vs Old Mp40 1 Vs 1🤣😍AUKAT KI BAAT!!!😡 - Garena Free Fire","190821","7398","434","Gaming"
"cAjRYHhAYiQ","$1400 Gaming PC Build Guide","113417","3842","559","Gaming"
"XlsnUsaLuu4","20 NEW Upcoming Games That Are Hard to Believe (2024-2025) | PC, PS5, Xbox Series X","73588","446","28","Gaming"
"ajGVI-km1Z0","The Ultimate Zero RGB Dream Gaming PC Build!","168494","6810","506","Gaming"
